PDB_ID,Download_status
4fyd,OK
1p2s,OK
2gyy,OK
4prj,OK
4cvn,OK
2gph,OK
2pan,OK
3rho,OK
2vo6,OK
1lf4,OK
1zmd,OK
1nek,OK
1o05,OK
4pes,OK
2c16,OK
5otq,OK
2c6o,OK
2uw4,OK
4owp,OK
4khp,OK
5i6h,OK
5xt5,OK
4mso,OK
1w8j,OK
1nm1,OK
3w5s,OK
6ftf,OK
4kin,OK
5jr7,counts
4gja,OK
3csc,OK
2w0a,OK
3pp7,OK
4q23,counts
1hqo,OK
2xyi,OK
5l67,OK
4quk,OK
5b1s,OK
4l28,OK
1i7d,OK
3oqs,OK
3qmf,OK
3v62,OK
2xax,OK
3wbl,OK
1mi3,OK
6f4g,OK
5xqz,OK
3nvi,OK
1n6i,OK
3t6v,OK
3lbn,OK
4gxm,OK
4dsz,OK
6h8n,OK
2huv,OK
2jj2,OK
6ixv,OK
3po3,OK
2owk,OK
5ijt,OK
3emh,OK
3qhr,OK
6oag,counts
2vwj,counts
5nhp,counts
1d7i,OK
2f1d,OK
4omt,OK
5y63,OK
4k8x,OK
4yrt,OK
2jkd,OK
5cvf,OK
3n3c,failed_download
3vra,OK
3a7h,OK
1gih,OK
5enq,OK
5t4l,OK
1zmr,OK
1wkw,OK
3hkc,counts
1ve1,OK
1ttq,OK
5d8h,OK
3a4i,OK
3uie,OK
3she,OK
1p27,OK
6hvh,OK
2qpa,counts
4us1,OK
3kv6,counts
5zop,OK
6iuy,OK
1ld3,OK
4rpq,counts
3b7q,OK
4unl,OK
4k8e,OK
6gm7,OK
5ax8,OK
5vnz,OK
3hkz,OK
3kai,OK
6boo,OK
3wem,OK
3c9b,OK
1sx4,OK
2e88,OK
2via,OK
2xk6,counts
1z6p,OK
3boa,OK
4fip,OK
2p8q,OK
2gu6,OK
6duc,OK
6i2q,OK
2d3b,OK
5i96,OK
4iw7,counts
3bfr,OK
3a8k,OK
2e8v,OK
1gc9,OK
5tdh,OK
1e3s,OK
6ahi,OK
2phk,OK
2vqf,OK
3udu,OK
4ayb,OK
5kyn,OK
3c8e,OK
3aon,counts
3iqg,OK
6j8m,OK
4ww9,counts
5b2z,OK
1e51,counts
2r03,OK
1iyx,OK
3a6m,counts
3qi2,OK
5l5s,OK
4j5a,OK
1qsp,OK
5xjt,OK
3rfu,OK
4dmb,OK
2vnz,OK
3r7y,OK
4zdi,counts
2qp9,counts
1buh,OK
4d6p,OK
2w5w,OK
1vy4,failed_download
5fgk,OK
3v9i,counts
5aqp,counts
2zqv,OK
3b2e,OK
3wqy,OK
1xtd,OK
5j45,OK
4otk,OK
3f5s,OK
3c16,OK
2wl4,OK
4wlu,OK
5x0i,OK
4w2g,failed_download
2zsu,OK
5t8k,OK
4h6o,OK
4gmb,OK
5op3,OK
6gvh,OK
3igj,OK
1ayl,OK
2x1m,OK
1lwi,OK
6kbm,OK
3qea,OK
1zak,OK
5vpm,OK
4wsh,OK
